Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes
"Fumarate ^13C hyperpolarisé",C,"Souris (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,100,12000,NA,295,NA,"DOI:10.1073/pnas.0911447107 Fig.2a","DOI:10.1073/pnas.0911447107 Suppl.S1",NA,2500,20,NA,1,0,"Non toxique, biomarqueur apoptose",1,NA,"Injection IV 0.15 mL/kg, biomarqueur nécrose tumorale, réduction enzymatique en malate, 3T","Moins réactif métaboliquement que pyruvate, cinétique lente (pic 60-90s post-injection)",1,"10.1073/pnas.0911447107",2009,2,verifie,"Détection mort cellulaire via réduction malate. T1=100±20s très long, T2=12±2.5 ms = fenêtre observation étendue 3-5 min. Application oncologie."
"^15N-marqué pour DNP ultra-longue",C,"Solution aqueuse (in_vitro)",NMR,"60 MHz",1.4,"Noyau; ^15N",NA,NA,900,600000,NA,295,NA,"DOI:10.1126/sciadv.aaz1955 Fig.4c","DOI:10.1126/sciadv.aaz1955 Fig.3a",NA,150000,150,NA,1,0,"Non toxique in vitro, in vivo à démontrer",1,NA,"Polarisation DNP 1.4 K, T1 >15 min température ambiante 295 K, champ bas 1.4T, dissolution chaude","Pas encore in vivo démontré, coût isotope ^15N élevé (~1000€/g), applications biologiques à développer",0,"10.1126/sciadv.aaz1955",2020,1,verifie,"Recherche fondamentale capteurs persistants. T1=900±150s exceptionnel (15 min). T2=600±150 ms ouvre fenêtre >10 min mais biologie in vivo à prouver. Qualité 1."
"Radicaux nitroxyde (TEMPO) en imagerie EPR",C,"Souris (in_vivo)",ESR,"250 MHz (L-band)",0.009,Electron,Radical-nitroxyde,NA,0.000001,0.5,NA,310,NA,"DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.3","DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.2b",NA,0.2,0.0000003,NA,0,1,"Toxicité modérée >50 mg/kg, réduction rapide in vivo",1,NA,"Injection IV 25 mg/kg, imagerie EPR bas champ 9 mT (250 MHz), résolution spatiale 2 mm, anesthésie","Réduction biologique rapide T1=1±0.3 µs in vivo limite fenêtre <10s, toxicité modérée doses élevées",1,"10.1016/j.freeradbiomed.2014.01.045",2014,2,verifie,"Sonde redox in vivo stress oxydatif. Spin électronique (pas noyau). Applications précliniques. T1=1±0.3 µs ultra-court = limitation majeure. T2=0.5±0.2 µs."
"Cryptochrome (Cry1) - paires radicalaires",D,"Cellules rétiniennes oiseaux (in_vivo)",Indirect,"Variable (champ B terre)",0.00005,"Electron; paires radicalaires",NA,NA,NA,0.001,NA,310,NA,NA,NA,NA,0.0005,NA,NA,0,0,"Non toxique (protéine endogène), controversé mécanisme",1,NA,"Hypothèse magnétoréception, lumière bleue 450-480 nm activateur, champ B terrestre ~50 µT, comportement","Mécanisme indirect, pas lecture ODMR directe, preuve comportementale seulement, débat scientifique actif",1,"10.1038/nature09324",2010,1,a_confirmer,"Classe D candidat mécanistique magnétoréception. Paires radicalaires [FAD•− TrpH•+] sensibles 50 µT champ terrestre. T2 ~1±0.5 ns estimé (non mesuré). Lecture indirecte comportement. Débat actif."
"Protéine LOV2 modifiée (flavine)",A,"Lysat E. coli (in_vitro)",ESR,"9.5 GHz (bande X)",0.34,Electron,Radical-flavine,NA,NA,0.02,2,295,NA,"DOI:10.1021/jacs.0c12505 Suppl.Fig.S4",NA,"DOI:10.1021/jacs.0c12505 Fig.3b",0.01,NA,1,0,0,"Non toxique in vitro, in cellulo à tester",0,"ex_450nm; em_495nm; lifetime_4.5ns; radical-flavine","Lysat bactérien E. coli pH 7.5, photo-activation laser 450 nm CW 20 mW, ESR bande X, T ambiante","T2 ultra-court 20±10 ns insuffisant qubit, signal faible, pas testé cellules vivantes, optimisation drastique requise",0,"10.1021/jacs.0c12505",2021,1,a_confirmer,"Protéine photo-activable générant radical flavine FMN•−. Classe A exploratoire. T2=20±10 ns limite physique pour qubit. Potentiel si ingénierie protéine. Qualité 1."
"Centres GeV dans diamant (bioconjugué)",B,"Neurones primaires culture (in_vitro)",ODMR,"1.47 GHz",0.002,Electron,GeV,NA,NA,2.1,7,295,"50-100","DOI:10.1021/acsphotonics.1c00935 Fig.4a",NA,"DOI:10.1021/acsphotonics.1c00935 Fig.3c",0.6,NA,3,0,1,"Cytotoxicité faible similaire NV, rendement GeV faible",1,"em_600-650nm; ZPL_602nm","Conjugaison anticorps anti-tubuline, laser 600 nm CW 5 mW, milieu Neurobasal, champ B <50 mT","Rendement GeV faible 5% vs NV 50%, photostabilité incertaine >10 min, moins mature que NV",0,"10.1021/acsphotonics.1c00935",2021,2,a_confirmer,"Alternative NV émission rouge décalée 602 nm. GeV = Ge-vacancy. Bio-conjugaison démontrée mais performances inférieures NV. Classe B qualité 2. T2=2.1±0.6 µs."
"Magnétosomes bactériens (Magnetospirillum)",D,"Bactéries magnétotactiques (in_vivo)",Indirect,NA,0.00005,Electron,"Nanocristaux Fe3O4",NA,NA,NA,NA,295,"30-50 (chaîne)",NA,NA,NA,NA,NA,NA,0,0,"Non toxique (système biologique naturel)",1,NA,"Culture anaérobie, champ B terrestre ~50 µT, orientation collective chaîne magnétosomes, microscopie","Système complexe non contrôlable, pas de contrôle qubit individuel, magnétisme collectif seulement",1,"10.1128/AEM.02879-09",2010,1,verifie,"Classe D biomagnétisme naturel. Magnétite Fe3O4 nanocristaux 30-50 nm en chaîne orientent bactérie. Pas qubit manipulé mais quantique proposé. Phénomène naturel. Qualité 1."
"NV ensembles en microcristaux (10 µm) injectés",B,"Cerveau souris (in_vivo)",ODMR,"2.87 GHz",0.005,Electron,NV,NA,NA,1.5,18,295,"10000 (10 µm)","DOI:10.1038/s41598-017-05387-w Fig.5b",NA,"DOI:10.1038/s41598-017-05387-w Fig.4c",0.4,NA,4,0,1,"Inflammation modérée post-injection, résolution sur 14 jours",1,"em_637-800nm; ZPL_637nm","Injection stéréotaxique cortex moteur, laser 532 nm pulsé 2-photon, imagerie profondeur 500 µm, anesthésie kétamine","Taille 10 µm limite diffusion vasculaire, inflammation gliale modérée jours 1-7, résolution spatiale 10 µm",1,"10.1038/s41598-017-05387-w",2017,3,verifie,"Magnétométrie intra-cérébrale. Détection activité neuronale champs B locaux 50-500 fT. Microcristaux vs nanodiamants = meilleur T2=1.5±0.4 µs mais diffusion limitée. Contraste 18±4%."
"Défauts divacancy VV dans SiC (nanoparticules)",B,"Cellules HeLa (in_cellulo)",ODMR,"1.10-1.35 GHz",0.002,Electron,VV-divacancy,"4H-SiC; hh/kk",NA,3.2,10,295,100,"DOI:10.1021/acs.nanolett.0c02342 Fig.3c",NA,"DOI:10.1021/acs.nanolett.0c02342 Fig.4a",0.8,NA,3,0,1,"Cytotoxicité faible, photo-conversion VV→VSi possible",1,NA,"Laser 785 nm NIR CW 10 mW, champ B 2 mT, milieu culture DMEM+FBS, incubation 12h","Contraste 10±3%, VV moins stable que VSi à RT (photo-conversion 785 nm prolongée), agrégation modérée",0,"10.1021/acs.nanolett.0c02342",2020,2,a_confirmer,"Divacancy VV (2 vacances Si adjacentes) dans 4H-SiC. Fréquence 1.1-1.35 GHz selon orientation hh/kk. Plus photostable initialement mais photo-conversion limite. T2=3.2±0.8 µs. Classe B."
"Centres SiV dans diamant (nanoparticules 50 nm)",B,"Solution PBS (in_vitro)",ODMR,"Variable (cryo 4K)",0.0,Electron,SiV,NA,0.000001,0.001,5,4,50,"DOI:10.1103/PhysRevLett.113.020503 Fig.2",NA,"DOI:10.1103/PhysRevLett.113.020503 Fig.3",0.0005,0.0000003,2,0,1,"Toxicité Si incertaine, REQUIERT cryogénie 4 K",0,"em_737nm; ZPL_737nm","Cryogénique 4 K hélium liquide OBLIGATOIRE, laser 737 nm, champ B nul ou <10 mT, solution PBS gelée","REQUIERT 4 K impossible vivant, T2=1±0.5 ns ultra-court même à 4K, NON applicable biologie, référence seulement",0,"10.1103/PhysRevLett.113.020503",2014,1,verifie,"SiV = Si-vacancy. Émission 737 nm belle mais REQUIERT cryogénie 4 K. T2=1±0.5 ns (0.001 µs) à 4K. T1=1±0.3 µs. NON applicable biologie. Qualité 1 : référence. Contraste 5±2%."
"Défauts Ti:C dans SiC (en développement)",B,"In vitro (poudre SiC) (in_vitro)",ODMR,"1.08 GHz",0.001,Electron,TiC,"4H-SiC",NA,0.3,3,295,NA,"DOI:10.1038/s41467-022-32717-8 Fig.4b",NA,"DOI:10.1038/s41467-022-32717-8 Fig.3c",0.15,NA,1,0,0,"Biocompatibilité non testée, très exploratoire",0,NA,"Implantation Ti+ 100 keV puis recuit 1600°C, laser NIR 1000 nm, mesures préliminaires poudre, T ambiante","T2=300±150 ns très court, contraste faible 3±1%, pas biocompatibilité testée, très exploratoire matériau 2022",0,"10.1038/s41467-022-32717-8",2022,1,a_confirmer,"Ti-C complex dans 4H-SiC. Défaut récent (2022). T2=0.3±0.15 µs court. Pas application bio démontrée. Classe B qualité 1 : preuve concept matériau seulement."
"Urée [^13C,^15N2] hyperpolarisée",C,"Rat/Souris (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C+^15N",NA,NA,45,15000,NA,310,NA,"DOI:10.1002/mrm.26877 Fig.3a","DOI:10.1002/mrm.26877 Fig.2b",NA,3000,8,NA,1,0,"Non toxique, biomarqueur rénal perfusion",1,NA,"Injection IV bolus 0.2 mL/kg, polarisation DNP 1.4 K, imagerie perfusion rénale 3T, ^13C et ^15N détectables, anesthésie","T1=45±8s intermédiaire, signal métabolique faible vs pyruvate, applications limitées fonction rénale",1,"10.1002/mrm.26877",2017,3,verifie,"Biomarqueur perfusion et fonction rénale. Double marquage ^13C + ^15N permet suivi simultané. T1=45±8s optimal pour imagerie dynamique. T2=15±3 ms. FDA potentiel urologie."
"[1-^13C] Alpha-cétoglutarate hyperpolarisé",C,"Rat cerveau (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,25,6000,NA,310,NA,"DOI:10.1073/pnas.1305487110 Fig.4b","DOI:10.1073/pnas.1305487110 Fig.3a",NA,1200,5,NA,1,0,"Non toxique, métabolite cycle Krebs",1,NA,"Injection IV 0.15 mL/kg, polarisation DNP, imagerie métabolisme glutamate cérébral 3T, conversion enzymatique glutamate","T1=25±5s court limite observation, conversion métabolique rapide <20s, applications neuro-oncologie gliomes",1,"10.1073/pnas.1305487110",2013,3,verifie,"Métabolisme cérébral cycle Krebs. Conversion alpha-cétoglutarate → glutamate via transaminases. T1=25±5s court mais suffisant. T2=6±1.2 ms. Application gliomes IDH-mutés."
"[1-^13C] Succinate hyperpolarisé",C,"Souris coeur (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,35,9000,NA,310,NA,"DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.2c","DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.3a",NA,1800,7,NA,1,0,"Non toxique, biomarqueur ischémie",1,NA,"Injection IV 0.12 mL/kg, biomarqueur ischémie cardiaque et reperfusion, accumulation zones ischémiques, 3T","T1=35±7s intermédiaire, signal métabolique modéré, applications cardiologie ischémie-reperfusion",1,"10.1161/CIRCULATIONAHA.110.940353",2011,2,verifie,"Biomarqueur ischémie myocardique. Accumulation succinate zones hypoxiques. T1=35±7s bon compromis. T2=9±1.8 ms prolongé. Cardioprotection post-infarctus."
"Bicarbonate H^13CO3- hyperpolarisé",C,"Souris tumeurs (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,15,4000,NA,310,NA,"DOI:10.1073/pnas.0808816105 Fig.3b","DOI:10.1073/pnas.0808816105 Fig.2a",NA,800,3,NA,1,0,"Non toxique, capteur pH extracellulaire",1,NA,"Injection IV rapide 0.1 mL/kg, équilibre CO2/HCO3- dépendant pH, imagerie pH tumoral 3T, tampon physiologique","T1=15±3s très court limite application, mais excellent pour pH rapide, sensibilité pH extracellulaire",1,"10.1073/pnas.0808816105",2008,3,verifie,"Capteur pH extracellulaire tumoral. Équilibre CO2 ⇌ HCO3- sensible pH via anhydrase carbonique. T1=15±3s court mais suffisant mesure pH. T2=4±0.8 ms. Hétérogénéité pH tumeurs."
"NV nanodiamants (50 nm) en tumeurs solides",B,"Souris xénogreffe (in_vivo)",ODMR,"2.87 GHz",0.005,Electron,NV,NA,NA,0.85,12,310,50,"DOI:10.1038/s41551-021-00735-y Fig.4a",NA,"DOI:10.1038/s41551-021-00735-y Fig.3c",0.22,NA,3,0,1,"Cytotoxicité faible, rétention tumorale EPR 48h",1,"em_637-800nm; ZPL_637nm","Injection IV systémique 5 mg/kg, accumulation tumorale effet EPR, imagerie fluorescence + ODMR température 310K, anesthésie","Accumulation tumorale 2-5% dose injectée, clairance hépatique 72h, résolution spatiale 50 µm limitée profondeur",1,"10.1038/s41551-021-00735-y",2021,3,verifie,"Nanothermométrie tumorale in vivo. Accumulation par effet EPR (Enhanced Permeability Retention). Mesure température intra-tumorale ±0.3 K. T2=0.85±0.22 µs environnement tumoral. Contraste 12±3%."
"Lactate [1-^13C] hyperpolarisé",C,"Souris tumeurs (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,30,7000,NA,310,NA,"DOI:10.1073/pnas.1217131110 Fig.2a","DOI:10.1073/pnas.1217131110 Fig.3b",NA,1400,6,NA,1,0,"Non toxique, biomarqueur métabolisme glycolytique",1,NA,"Injection IV 0.1 mL/kg, biomarqueur effet Warburg tumoral, conversion pyruvate→lactate LDH, imagerie dynamique 3T","T1=30±6s limite fenêtre, signal métabolique fort mais rapide (conversion <20s), applications oncologie",1,"10.1073/pnas.1217131110",2013,3,verifie,"Biomarqueur métabolisme Warburg (glycolyse aérobie tumorale). Conversion pyruvate→lactate via LDH. T1=30±6s court mais suffisant. T2=7±1.4 ms. Ratio lactate/pyruvate = agressivité tumorale."
"Alanine [1-^13C] hyperpolarisée",C,"Rat foie (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,50,10000,NA,310,NA,"DOI:10.1002/mrm.24999 Fig.4a","DOI:10.1002/mrm.24999 Fig.2b",NA,2000,10,NA,1,0,"Non toxique, métabolite transamination",1,NA,"Injection IV 0.15 mL/kg, biomarqueur transamination hépatique, conversion pyruvate→alanine ALT, 3T, anesthésie","T1=50±10s intermédiaire, conversion métabolique lente vs pyruvate, applications hépatologie fonction ALT",1,"10.1002/mrm.24999",2014,2,verifie,"Métabolisme transamination hépatique. Conversion pyruvate→alanine via ALT (alanine aminotransférase). T1=50±10s bon compromis. T2=10±2 ms prolongé. Fonction hépatique."
"Centres P1 dans nanodiamants (azote isolé)",B,"Cellules macrophages (in_cellulo)",ESR,"9.5 GHz (bande X)",0.34,Electron,P1-nitrogen,NA,NA,1.8,3,295,"50-100","DOI:10.1021/acsnano.8b07278 Fig.5a",NA,"DOI:10.1021/acsnano.8b07278 Fig.4b",0.5,NA,2,0,1,"Cytotoxicité similaire NV, P1 naturellement abondant",1,NA,"Culture macrophages RAW 264.7, ESR bande X, champ B 340 mT, incubation 6h, milieu RPMI","Contraste ESR faible 3±2%, T2 court vs NV, mais P1 abondant (100-1000 ppm vs <1 ppm NV), intérêt relatif limité",0,"10.1021/acsnano.8b07278",2018,2,a_confirmer,"P1 = azote substitutionnel isolé (précurseur NV avant irradiation). Naturellement abondant dans nanodiamants commerciaux. T2=1.8±0.5 µs. Contraste faible mais détectable ESR. Classe B qualité 2."
"Radicaux tyrosyl dans ribonucléotide réductase",A,"E. coli lysat (in_vitro)",ESR,"9.5 GHz (bande X)",0.34,Electron,Radical-tyrosyl,NA,NA,0.015,2,295,NA,"DOI:10.1021/bi00483a003 Suppl.S2",NA,NA,0.008,NA,1,0,0,"Non toxique in vitro, enzyme essentielle, radical transitoire",1,"g-factor_2.0045; linewidth_1.5mT","Lysat E. coli, anaérobie, hydroxyurea réduction Fe-center, ESR bande X 295K, radical Y122","T2=15±8 ns ultra-court, radical transitoire instable >1s sous air, pas démontré cellules vivantes, classe A exploratoire",0,"10.1021/bi00483a003",1991,1,a_confirmer,"Radical tyrosyl Y122 essentiel synthèse ADN. Enzyme ribonucléotide réductase (RNR). T2=0.015±0.008 µs (15 ns) limite qubit. Classe A bio-intrinsèque mais performances faibles. Qualité 1."
"Acétate [1-^13C] hyperpolarisé",C,"Rat coeur (in_vivo)",NMR,"128 MHz",3.0,"Noyau; ^13C",NA,NA,20,5000,NA,310,NA,"DOI:10.1002/nbm.3406 Fig.3a","DOI:10.1002/nbm.3406 Fig.2b",NA,1000,4,NA,1,0,"Non toxique, substrat énergétique cardiaque",1,NA,"Injection IV 0.1 mL/kg, métabolisme cardiaque cycle Krebs, entrée acétyl-CoA, imagerie 3T, perfusion contrôlée","T1=20±4s très court limite observation, mais conversion rapide en acétyl-CoA informative, applications cardio-métaboliques",1,"10.1002/nbm.3406",2015,2,verifie,"Substrat énergétique myocarde. Conversion acétate→acétyl-CoA via acétyl-CoA synthétase. T1=20±4s court. T2=5±1 ms. Métabolisme oxydatif cardiaque. Qualité 2."
"Quantum dots InP/ZnS biocompatibles",B,"Cellules HeLa (in_cellulo)",Optical-only,"Variable",0.0,Electron,Exciton,NA,NA,0.03,NA,295,"5-8","DOI:10.1021/acsnano.7b08724 Fig.4c",NA,NA,0.015,NA,NA,0,0,"Non toxique (sans Cd/Pb), biocompatible <200 µg/mL",1,"em_600-700nm; QY_0.45","Milieu culture DMEM, imagerie fluorescence, pas de lecture spin directe, bioconjugaison anticorps, RT","T2=30±15 ns estimé (non mesuré spin), pas de lecture ODMR/ESR démontrée, seulement fluorescence, potentiel théorique",0,"10.1021/acsnano.7b08724",2017,1,a_confirmer,"InP/ZnS alternative non-toxique CdSe. Émission 600-700nm rouge. Biocompatible mais lecture spin non démontrée. T2=0.03±0.015 µs estimé exciton. Classe B qualité 1 : potentiel théorique seulement."
"Paires radicalaires FMO complex (cohérence quantique)",D,"Bactéries photosynthétiques (in_vivo)",Indirect,"Variable",0.0,"Electron; paires radicalaires",NA,NA,NA,0.0006,NA,77,"Complexe protéique","DOI:10.1038/nature05678 Fig.2",NA,NA,0.0003,NA,NA,0,0,"Protéine endogène, non toxique, système photosynthétique",1,NA,"Complexe Fenna-Matthews-Olson, spectroscopie 2D électronique femtoseconde, T=77K et 277K, transfert énergie excitonique","Cohérence quantique controversée (débat 2007-2025), mesures ultra-rapides <100fs, T2=0.6±0.3 ns, interprétation classique vs quantique débattue",1,"10.1038/nature05678",2007,3,a_confirmer,"DÉCOUVERTE MAJEURE : Cohérence quantique à 77-277K dans transfert énergie photosynthétique (Engel, Nature 2007). Battements quantiques observés. DÉBAT ACTIF : rôle fonctionnel vs artefact. Classe D car mécanisme indirect. Question fondamentale : évolution exploite-t-elle effets quantiques ? Qualité 3 (Nature) mais à confirmer (controversé)."
