SystemID,protein_name,family,is_biosensor,temperature_K,pH,context,context_type,excitation_nm,emission_nm,stokes_shift_nm,spectral_region,target_contrast_log,contrast_normalized_raw,quality_tier,source,data_version,ingestion_date
FP_0060,mCardinal,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7793248768009976,1.18,B,,v1.3.1,2025-10-25
FP_0061,mCerulean3,CFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7178397931503169,1.05,B,,v1.3.1,2025-10-25
FP_0062,mCitrine,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.8109302162163288,1.25,B,pmc_fulltext,v1.3.1,2025-10-25
FP_0065,mEmerald,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7654678421395714,1.15,B,,v1.3.1,2025-10-25
FP_0067,mKate2,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7419373447293773,1.1,B,,v1.3.1,2025-10-25
FP_0071,mRuby2,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.832909122935104,1.3,B,,v1.3.1,2025-10-25
FP_0072,mTFP1,Teal,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.8109302162163288,1.25,B,pmc_fulltext,v1.3.1,2025-10-25
FP_0073,mTurquoise2,CFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7419373447293773,1.1,B,,v1.3.1,2025-10-25
FP_0074,mVenus,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7884573603642702,1.2,B,pmc_fulltext,v1.3.1,2025-10-25
FP_0075,mWasabi,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.7884573603642702,1.2,B,pmc_fulltext,v1.3.1,2025-10-25
FP_0076,pHluorin,pH,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.6486586255873816,4.2,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0077,pHuji,pH,1.0,298.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.5686159179138452,3.8,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0078,roGFP2,Redox,1.0,298.0,7.4,in_cellulo(HEK),in_cellulo,,,,unknown,1.9459101490553132,6.0,B,metabolic_preseed,v1.3.1,2025-10-25
FP_0079,sfGFP,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.832909122935104,1.3,B,,v1.3.1,2025-10-25
FP_0080,tdTomato,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,0.8754687373538999,1.4,B,,v1.3.1,2025-10-25
FP_0084,XCaMP-Gf,Calcium,1.0,301.0,7.4,in_vivo(zebrafish),in_vivo,,,,unknown,3.269568939183719,25.3,B,,v1.3.1,2025-10-25
FP_0085,GRAB-ACh4.0,Acetylcholine,1.0,310.0,7.4,in_vivo(cortex),in_vivo,,,,unknown,1.9740810260220096,6.2,B,,v1.3.1,2025-10-25
FP_0086,iGABASnFR,GABA,1.0,310.0,7.4,in_vivo(hippocampus),in_vivo,,,,unknown,2.2823823856765264,8.8,B,,v1.3.1,2025-10-25
FP_0087,dLight1.4,Dopamine,1.0,310.0,7.4,in_vivo(striatum),in_vivo,,,,unknown,1.7578579175523736,4.8,B,,v1.3.1,2025-10-25
FP_0088,GRAB-5HT2.0,Serotonin,1.0,310.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,1.589235205116581,3.9,B,,v1.3.1,2025-10-25
FP_0089,iGluu,Glutamate,1.0,310.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,2.322387720290225,9.2,B,,v1.3.1,2025-10-25
FP_0090,MaLionR,ATP,1.0,298.0,7.4,in_cellulo(neurons),in_cellulo,,,,unknown,1.4350845252893227,3.2,B,,v1.3.1,2025-10-25
FP_0091,ASAP4e,Voltage,1.0,310.0,7.4,in_vivo(neurons),in_vivo,,,,unknown,0.883767540168595,1.42,B,,v1.3.1,2025-10-25
FP_0092,soma-ASAP3,Voltage,1.0,310.0,7.4,in_vivo(cortex),in_vivo,,,,unknown,0.8671004876833833,1.38,B,,v1.3.1,2025-10-25
FP_0095,miRFP670,NIR,0.0,310.0,7.4,in_vivo(mouse),in_vivo,,,,unknown,0.6523251860396903,0.92,B,,v1.3.1,2025-10-25
FP_0096,miRFP720,NIR,0.0,310.0,7.4,in_vivo(mouse),in_vivo,,,,unknown,0.6312717768418579,0.88,B,,v1.3.1,2025-10-25
FP_0097,roGFP2-Orp1,Redox,1.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,2.0149030205422647,6.5,B,,v1.3.1,2025-10-25
FP_0098,pHluorin2,pH,1.0,298.0,7.4,in_cellulo(neurons),in_cellulo,,,,unknown,1.6486586255873816,4.2,B,,v1.3.1,2025-10-25
FP_0099,cAMPr,cAMP,1.0,298.0,7.4,in_cellulo,in_cellulo,,,,unknown,1.3609765531356006,2.9,B,,v1.3.1,2025-10-25
FP_FB001,sfGFP-S65T,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,488.0,510.0,22.0,green,0.8960880245566356,1.45,B,FPbase,v1.3.1,2025-10-25
FP_FB002,EGFP-F64L,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,488.0,507.0,19.0,green,0.8671004876833833,1.38,B,FPbase,v1.3.1,2025-10-25
FP_FB003,Emerald,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,487.0,509.0,22.0,green,0.8241754429663494,1.28,B,FPbase,v1.3.1,2025-10-25
FP_FB004,mCherry,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,587.0,610.0,23.0,orange,0.9360933591703349,1.55,B,FPbase,v1.3.1,2025-10-25
FP_FB005,mScarlet,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,569.0,594.0,25.0,orange,1.000631880307906,1.72,B,FPbase,v1.3.1,2025-10-25
FP_FB006,mRuby3,RFP,0.0,298.0,7.4,in_cellulo,in_cellulo,558.0,592.0,34.0,orange,0.9082585601768908,1.48,B,FPbase,v1.3.1,2025-10-25
FP_FB007,GCaMP3,Calcium,1.0,298.0,7.4,in_cellulo(neurons),in_cellulo,497.0,515.0,18.0,green,1.8718021769015913,5.5,B,FPbase,v1.3.1,2025-10-25
FP_FB008,GCaMP5G,Calcium,1.0,310.0,7.4,in_vivo(neurons),in_vivo,488.0,510.0,22.0,green,2.501435951739211,11.2,B,FPbase,v1.3.1,2025-10-25
FP_FB009,jGCaMP7c,Calcium,1.0,310.0,7.4,in_vivo(neurons),in_vivo,488.0,512.0,24.0,green,3.7612001156935624,42.0,B,FPbase,v1.3.1,2025-10-25
FP_FB010,Cerulean,CFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,433.0,475.0,42.0,blue,0.6830968447064438,0.98,B,FPbase,v1.3.1,2025-10-25
FP_FB011,mVenus-A206K,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,515.0,528.0,13.0,yellow,0.8415671856782186,1.32,B,FPbase,v1.3.1,2025-10-25
FP_FB012,ASAP2f,Voltage,1.0,310.0,7.4,in_vivo(neurons),in_vivo,488.0,520.0,32.0,yellow,0.3220834991691133,0.38,B,FPbase,v1.3.1,2025-10-25
FP_FB013,Ace2N-mNeon,Voltage,1.0,298.0,7.4,in_vivo(neurons),in_vivo,506.0,517.0,11.0,green,0.41871033485818504,0.52,B,FPbase,v1.3.1,2025-10-25
FP_FB014,iGluSnFR-A184V,Glutamate,1.0,310.0,7.4,in_vivo(neurons),in_vivo,490.0,512.0,22.0,green,2.1400661634962708,7.5,B,FPbase,v1.3.1,2025-10-25
FP_FB015,dLight1.3a,Dopamine,1.0,310.0,7.4,in_vivo(striatum),in_vivo,488.0,510.0,22.0,green,1.4350845252893227,3.2,B,FPbase,v1.3.1,2025-10-25
FP_FB016,mCardinal2,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,604.0,659.0,55.0,red,0.7323678937132266,1.08,B,FPbase,v1.3.1,2025-10-25
FP_FB017,mGarnet2,Far-red,0.0,298.0,7.4,in_cellulo,in_cellulo,598.0,657.0,59.0,red,0.6523251860396903,0.92,B,FPbase,v1.3.1,2025-10-25
FP_FB018,pHluorin-M153R,pH,1.0,298.0,7.4,in_cellulo(neurons),in_cellulo,395.0,509.0,114.0,green,1.7578579175523736,4.8,B,FPbase,v1.3.1,2025-10-25
FP_FB019,mNectarine,pH,1.0,298.0,7.4,in_cellulo,in_cellulo,584.0,609.0,25.0,orange,1.4350845252893227,3.2,B,FPbase,v1.3.1,2025-10-25
FP_FB020,roGFP2-Orp1-iL,Redox,1.0,298.0,7.4,in_cellulo(mitochondria),in_cellulo,488.0,510.0,22.0,green,2.1041341542702074,7.2,B,FPbase,v1.3.1,2025-10-25
FP_FB021,Clover-mEGFP,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,505.0,515.0,10.0,green,0.883767540168595,1.42,B,FPbase,v1.3.1,2025-10-25
FP_FB022,Clover3,GFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,506.0,516.0,10.0,green,0.9082585601768908,1.48,B,FPbase,v1.3.1,2025-10-25
FP_FB023,XCaMP-R,Calcium,1.0,301.0,7.4,in_vivo(zebrafish),in_vivo,573.0,598.0,25.0,orange,2.970414465569701,18.5,B,FPbase,v1.3.1,2025-10-25
FP_FB024,jRCaMP1b,Calcium,1.0,310.0,7.4,in_vivo(neurons),in_vivo,570.0,590.0,20.0,orange,2.468099531471619,10.8,B,FPbase,v1.3.1,2025-10-25
FP_FB025,mTurquoise,CFP-like,0.0,298.0,7.4,in_cellulo,in_cellulo,434.0,474.0,40.0,blue,0.7323678937132266,1.08,B,FPbase,v1.3.1,2025-10-25
FP_FB026,LSSmOrange,Orange,0.0,298.0,7.4,in_cellulo,in_cellulo,437.0,572.0,135.0,yellow,0.6312717768418579,0.88,B,FPbase,v1.3.1,2025-10-25
FP_FB027,GRAB-ACh3.0-mEGFP,Acetylcholine,1.0,310.0,7.4,in_vivo(cortex),in_vivo,488.0,510.0,22.0,green,1.7578579175523736,4.8,B,FPbase,v1.3.1,2025-10-25
FP_FB028,iGABASnFR2,GABA,1.0,310.0,7.4,in_vivo(hippocampus),in_vivo,490.0,513.0,23.0,green,1.9740810260220096,6.2,B,FPbase,v1.3.1,2025-10-25
FP_FB029,iATPSnFR,ATP,1.0,298.0,7.4,in_cellulo,in_cellulo,490.0,512.0,22.0,green,1.33500106673234,2.8,B,FPbase,v1.3.1,2025-10-25
FP_FB030,iNap-FRET,NAD+/NADH,1.0,298.0,7.4,in_cellulo(mitochondria),in_cellulo,420.0,535.0,115.0,yellow,1.0647107369924282,1.9,B,FPbase,v1.3.1,2025-10-25
